sir	242136
video	101780
hot	75248
you	70338
to	65144
no	60882
congress	57239
and	56464
he	56166
me	54843
so	53425
recipe	50931
yet	50697
band	48478
please	46361
nice	44625
hi	42438
is	40348
police	39922
the	39045
of	37465
in	35131
song	32142
number	30901
for	29734
news	28716
but	27315
tech	27273
thank	27125
best	26679
love	26156
corona	25773
thanks	25526
while	25448
time	25416
madam	24546
very	24509
good	24418
party	23715
it	23017
like	22170
are	21746
great	20610
support	20498
photo	20328
man	20007
all	19648
media	19196
team	19172
try	18830
on	18749
my	18713
or	18709
channel	18658
be	18432
hey	18201
reply	18197
made	17876
god	17420
problem	17191
jail	17165
cake	16739
happy	16510
episode	15827
have	15635
up	15618
vote	15536
dow	15529
movie	15489
this	15379
bar	15274
use	15201
job	14307
post	13905
road	13692
your	13648
much	13592
mule	13478
share	13411
will	13343
lockdown	13223
phone	13056
we	13038
comment	12692
election	12396
log	12367
family	12320
fan	12266
not	12262
big	11942
only	11873
year	11862
help	11807
english	11742
miss	11727
ok	11609
new	11526
as	11523
same	11519
next	11455
game	11395
super	10937
din	10907
with	10459
boss	10441
bank	10406
mobile	10341
guru	10285
show	10192
bare	10071
soda	10034
from	9990
paper	9920
students	9909
public	9895
at	9878
company	9793
railway	9765
last	9747
that	9695
day	9655
form	9502
government	9412
full	9230
far	9173
life	9152
group	9094
ai	9014
one	9005
right	8989
teen	8966
train	8936
recipes	8931
over	8626
centre	8494
pass	8420
open	8399
class	8293
hospital	8208
wow	8204
link	8184
yes	8175
st	8153
just	7967
ticket	7958
acting	7837
by	7832
call	7810
case	7795
serial	7759
june	7737
dance	7677
was	7665
state	7586
follow	7482
pm	7436
keep	7379
change	7365
manse	7364
doctor	7309
first	7234
bus	7223
ur	7222
task	7134
do	7116
more	7102
sorry	7096
birthday	7050
politics	7021
pot	7021
hello	7014
may	6923
part	6897
comments	6870
court	6815
fake	6781
dam	6745
indian	6643
am	6622
age	6599
college	6571
free	6476
bc	6449
sale	6435
tax	6410
wit	6404
she	6361
work	6357
add	6300
check	6297
request	6284
covid	6231
nd	6221
test	6196
hay	6116
city	6096
dear	6057
contact	6043
live	6001
what	5986
bill	5922
student	5902
line	5900
film	5898
local	5895
direct	5893
action	5856
metro	5834
real	5781
story	5774
minister	5707
book	5690
decision	5685
side	5682
can	5660
rang	5650
result	5625
mate	5607
power	5600
years	5600
karen	5579
office	5559
pension	5529
market	5522
bless	5500
bad	5468
respect	5445
month	5400
list	5379
march	5377
our	5346
star	5293
cancel	5289
always	5286
out	5286
now	5282
home	5256
question	5244
congratulations	5240
special	5223
winner	5211
plan	5206
business	5205
receipe	5199
account	5176
hotel	5168
april	5167
pen	5160
cute	5147
an	5144
they	5137
beautiful	5066
information	5029
cricket	5024
vaccine	5008
seat	5004
people	4997
us	4997
if	4960
card	4955
well	4955
pay	4953
per	4927
wait	4925
kale	4924
app	4918
interview	4894
school	4891
back	4818
bat	4734
get	4716
haste	4712
hit	4691
main	4672
too	4671
gang	4655
correct	4645
week	4641
tension	4583
report	4561
superb	4554
camera	4552
voice	4545
block	4542
option	4540
study	4540
congree	4530
mask	4515
world	4511
army	4505
bag	4502
know	4495
mar	4467
saga	4465
san	4455
name	4446
car	4443
days	4439
tv	4434
also	4423
gas	4413
order	4391
enjoy	4356
language	4334
july	4313
date	4297
social	4296
light	4292
china	4286
august	4264
level	4245
clear	4228
take	4218
join	4204
project	4177
final	4176
hat	4175
hero	4163
cream	4154
top	4153
morning	4146
series	4144
ban	4142
station	4127
point	4126
her	4110
chance	4062
etc	4062
start	4061
reservation	4040
powder	4016
really	4013
send	4001
about	3997
positive	3976
down	3936
its	3925
target	3908
king	3884
traffic	3857
already	3849
say	3842
off	3839
jam	3834
central	3820
medical	3817
tag	3815
hope	3803
voting	3780
go	3751
copy	3725
cinema	3704
salute	3691
sweet	3687
true	3687
bid	3681
season	3680
perfect	3678
music	3674
has	3649
ah	3633
smart	3623
yogi	3607
supreme	3606
who	3602
shame	3598
look	3591
control	3589
joke	3584
how	3582
friend	3574
du	3573
see	3572
think	3568
november	3552
lamb	3548
said	3546
strong	3539
wish	3538
jab	3536
rate	3536
district	3514
black	3509
drama	3503
safe	3498
person	3494
important	3460
even	3436
why	3429
bomb	3425
education	3416
october	3396
non	3389
waiting	3389
any	3383
fast	3357
future	3352
proud	3344
fans	3340
picture	3331
yoga	3331
luck	3321
pakistani	3312
his	3307
update	3304
bass	3301
awesome	3286
january	3282
match	3279
after	3270
area	3259
cases	3246
way	3241
exams	3237
clic	3236
min	3236
note	3236
price	3196
gun	3190
september	3187
actor	3184
means	3179
idea	3163
private	3158
fail	3137
simple	3126
payment	3122
negative	3118
him	3103
vidio	3092
detail	3080
bail	3056
watch	3051
fact	3050
style	3049
want	3046
soy	3038
pure	3024
personal	3019
face	3011
political	3006
wrong	3004
amazing	3003
cell	2992
comedy	2991
oil	2989
care	2988
must	2988
west	2988
done	2980
when	2970
cut	2969
oh	2966
property	2964
many	2954
leader	2952
i'm	2943
history	2942
stop	2926
situation	2918
actually	2915
set	2898
answer	2879
late	2874
issue	2873
certificate	2866
feel	2865
university	2864
sang	2863
had	2861
room	2861
being	2856
beta	2832
then	2827
songs	2823
daily	2813
available	2797
there	2784
dish	2776
make	2776
colour	2773
better	2770
