thank you	9899
love you	4906
big boss	3939
very nice	3906
nice song	3597
happy birthday	2890
sir please	2568
miss you	2197
sir me	2161
news channel	1813
hi recipe	1726
hello sir	1665
very good	1634
detail video	1626
thanks sir	1601
he hi	1568
good morning	1535
nice video	1506
social media	1506
next time	1496
please sir	1450
supreme court	1321
bullet train	1281
lock down	1274
so much	1273
time pass	1272
police station	1242
congress party	1213
contact no	1163
try karen	1130
please reply	1115
nice recipe	1110
hi sir	1042
guru dow	999
well done	942
you tube	939
hi while	929
no song	927
mobile number	920
me try	916
contact number	908
god god	897
me hi	885
supportive comments	878
good job	871
press conference	859
to video	859
he to	841
last year	841
first time	834
special report	817
tech tech	804
he song	796
sir he	793
ice cream	771
local train	765
so nice	725
sir sir	724
phone number	723
next episode	721
smart city	704
mobile no	702
are he	699
corona mule	697
me he	694
like it	691
central government	686
god bless	679
recipe try	673
full support	668
he me	666
love story	658
shame on	655
to hi	644
final year	642
middle class	640
third class	628
prime minister	624
so called	624
lockdown mule	622
recipe share	622
fake news	620
web series	615
over acting	600
is best	587
it cell	585
big fan	584
take care	583
home minister	573
light bill	561
vote bank	557
reply me	556
help me	547
great work	537
super star	530
may be	529
we support	526
wing commander	525
last time	501
copy paste	495
no video	487
bare me	485
at least	484
good news	482
good night	475
film industry	474
question bank	470
next election	469
share market	468
he as	467
world cap	467
please help	465
problem solve	464
sir police	464
love from	463
he he	462
nice sir	461
thank sir	454
west indies	445
phone no	443
supreme corts	443
corona virus	436
chief minister	432
indian army	423
hi news	422
are to	420
mob no	419
full episode	418
hall ticket	417
mule he	416
hi serial	412
st time	411
to me	410
baking powder	409
dear sir	409
vote for	408
traffic jam	402
good work	401
so cute	399
hats off	398
note pro	397
video share	395
great sir	388
bad bad	386
baking soda	385
next video	382
nice voice	382
sir hi	382
portal band	380
best luck	378
ground level	377
so sweet	377
me to	374
high court	372
recipe me	372
great job	371
super song	371
thanks lot	369
last week	368
account open	367
state government	366
hi me	360
no send	358
hi post	354
good luck	347
like you	346
hot he	343
sir video	342
description box	339
age limit	337
bless you	337
hi he	335
hi video	335
side effects	334
breaking news	332
exams cancel	332
next year	330
ballet paper	329
weight loss	325
bar bar	321
congress so	321
black money	320
common man	319
mental hospital	319
fake account	318
reply sir	318
is great	316
reservation band	314
real life	312
are hi	307
background music	306
number song	301
corn flour	296
police department	296
phone booking	295
saga sir	295
on part	294
time waste	294
he recipe	293
as hot	291
hi tech	290
full movie	289
income tax	289
cake recipe	287
personal life	287
he news	281
he video	281
love it	280
side effect	280
traffic police	278
number plate	276
link share	275
same here	270
news channels	268
political party	268
sir form	268
as usual	267
so sad	265
no entry	264
so please	264
welcome to	264
number video	263
world cup	263
milk powder	262
next week	262
call me	260
cut off	258
me me	257
ache din	256
etc etc	256
road sho	255
corona positive	254
video made	254
sir no	253
congress congress	252
he congress	252
please please	251
same problem	251
you are	251
bomb blast	249
yes sir	249
bank of	248
english medium	248
social distance	248
video post	248
video me	246
nice information	245
super hit	244
he or	239
education minister	238
he band	238
photo share	238
real hero	238
are me	237
tell me	237
blue print	236
railway station	235
tax free	235
well said	234
be like	230
hi to	228
remote control	227
bye bye	226
channel subscribe	226
follow back	225
he tech	225
no problem	225
respected sir	225
best friend	224
he sang	224
sir thanks	224
waiting list	224
no sir	223
english yet	220
news paper	220
sir great	220
thanks for	219
come back	217
next part	217
make up	215
no doubt	215
publicity stunt	215
an he	214
the great	214
we love	214
red zone	213
video mule	213
number send	212
hope so	211
link send	211
medical college	211
nice work	211
he is	207
me video	207
ok sir	207
salute sir	207
kidney stone	206
so beautiful	206
band hot	204
heart attack	204
mule hi	204
best wishes	203
break up	203
common sense	202
he media	202
merit list	202
election commission	201
this is	201
keep going	200
proud of	200
credit card	199
hi movie	199
screen shot	199
video sir	198
family members	197
medical students	197
police constable	196
strict action	196
thank god	196
covid center	195
hi hi	195
we want	195
covid mule	193
recipes try	193
wine shop	193
no episode	192
corona hot	191
jet airways	191
liked video	191
love my	191
self respect	191
he photo	190
time table	190
happy journey	189
sargical strike	189
go back	188
great man	187
very true	187
happy anniversary	184
march du	184
thanks to	184
please share	183
like your	182
long term	182
show off	182
corona patient	180
out of	180
very much	180
waiting for	179
washing machine	179
too good	178
but he	177
pension band	177
bat he	176
income certificate	176
mule me	176
new video	176
ration card	176
he sale	175
hi yet	175
jail me	175
last date	175
nice songs	175
stock market	175
gas cylinder	174
sir reply	174
best song	173
over confidence	173
hat pay	172
he police	172
love marriage	172
silver oak	171
