n	f_n
1.000000e+00	1.658926e-01
2.000000e+00	8.713111e-02
3.000000e+00	6.090953e-02
4.000000e+00	4.383164e-02
5.000000e+00	3.551040e-02
6.000000e+00	2.946299e-02
7.000000e+00	2.549589e-02
8.000000e+00	2.244799e-02
9.000000e+00	1.857765e-02
1.000000e+01	1.669086e-02
1.100000e+01	1.354620e-02
1.200000e+01	1.320755e-02
1.300000e+01	9.143687e-03
1.400000e+01	1.161103e-02
1.500000e+01	1.078858e-02
1.600000e+01	9.192066e-03
1.700000e+01	9.046928e-03
1.800000e+01	8.563135e-03
1.900000e+01	7.160135e-03
2.000000e+01	6.918239e-03
2.100000e+01	7.450411e-03
2.200000e+01	5.757136e-03
2.300000e+01	6.676343e-03
2.400000e+01	5.757136e-03
2.500000e+01	6.434446e-03
2.600000e+01	5.079826e-03
2.700000e+01	4.934688e-03
2.800000e+01	4.644412e-03
2.900000e+01	4.160619e-03
3.000000e+01	3.628447e-03
3.100000e+01	3.434930e-03
3.200000e+01	3.773585e-03
3.300000e+01	4.499274e-03
3.400000e+01	3.870343e-03
3.500000e+01	3.628447e-03
3.600000e+01	3.773585e-03
3.700000e+01	3.144654e-03
3.800000e+01	3.338171e-03
3.900000e+01	2.612482e-03
4.000000e+01	3.241413e-03
4.100000e+01	2.418965e-03
4.200000e+01	3.241413e-03
4.300000e+01	3.047896e-03
4.400000e+01	3.047896e-03
4.500000e+01	3.241413e-03
4.600000e+01	3.096275e-03
4.700000e+01	2.273827e-03
4.800000e+01	1.935172e-03
4.900000e+01	2.273827e-03
5.000000e+01	2.757620e-03
5.100000e+01	2.467344e-03
5.200000e+01	2.418965e-03
5.300000e+01	2.031930e-03
5.400000e+01	2.128689e-03
5.500000e+01	2.080310e-03
5.600000e+01	1.838413e-03
5.700000e+01	2.225448e-03
5.800000e+01	1.693275e-03
5.900000e+01	2.177068e-03
6.000000e+01	2.515723e-03
6.100000e+01	1.838413e-03
6.200000e+01	1.596517e-03
6.300000e+01	1.257862e-03
6.400000e+01	1.838413e-03
6.500000e+01	1.741655e-03
6.600000e+01	1.790034e-03
6.700000e+01	1.935172e-03
6.800000e+01	1.257862e-03
6.900000e+01	1.161103e-03
7.000000e+01	1.644896e-03
7.100000e+01	1.257862e-03
7.200000e+01	1.209482e-03
7.300000e+01	5.805515e-04
7.400000e+01	1.257862e-03
7.500000e+01	1.064344e-03
7.600000e+01	1.306241e-03
7.700000e+01	1.451379e-03
7.800000e+01	1.209482e-03
7.900000e+01	1.354620e-03
8.000000e+01	1.403000e-03
8.100000e+01	1.209482e-03
8.200000e+01	1.354620e-03
8.300000e+01	1.257862e-03
8.400000e+01	1.161103e-03
8.500000e+01	1.257862e-03
8.600000e+01	1.354620e-03
8.700000e+01	7.740687e-04
8.800000e+01	1.209482e-03
8.900000e+01	8.708273e-04
9.000000e+01	1.209482e-03
9.100000e+01	1.112724e-03
9.200000e+01	1.306241e-03
9.300000e+01	1.161103e-03
9.400000e+01	1.112724e-03
9.500000e+01	1.161103e-03
9.600000e+01	1.451379e-03
9.700000e+01	1.596517e-03
9.800000e+01	1.112724e-03
9.900000e+01	7.740687e-04
1.000000e+02	6.773101e-04
1.010000e+02	8.708273e-04
1.020000e+02	9.192066e-04
1.030000e+02	7.256894e-04
1.040000e+02	6.773101e-04
1.050000e+02	1.015965e-03
1.060000e+02	1.209482e-03
1.070000e+02	5.321722e-04
1.080000e+02	1.015965e-03
1.090000e+02	8.708273e-04
1.100000e+02	5.805515e-04
1.110000e+02	9.192066e-04
1.120000e+02	9.675859e-04
1.130000e+02	5.321722e-04
1.140000e+02	8.224480e-04
1.150000e+02	8.224480e-04
1.160000e+02	7.256894e-04
1.170000e+02	4.354136e-04
1.180000e+02	9.675859e-04
1.190000e+02	5.805515e-04
1.200000e+02	8.224480e-04
1.210000e+02	1.112724e-03
1.220000e+02	7.740687e-04
1.230000e+02	6.289308e-04
1.240000e+02	7.740687e-04
1.250000e+02	4.837929e-04
1.260000e+02	7.740687e-04
1.270000e+02	5.321722e-04
1.280000e+02	5.805515e-04
1.290000e+02	8.708273e-04
1.300000e+02	7.256894e-04
1.310000e+02	7.740687e-04
1.320000e+02	6.289308e-04
1.330000e+02	6.773101e-04
1.340000e+02	7.256894e-04
1.350000e+02	6.773101e-04
1.360000e+02	5.321722e-04
1.370000e+02	8.224480e-04
1.380000e+02	6.773101e-04
1.390000e+02	8.224480e-04
1.400000e+02	7.256894e-04
1.410000e+02	4.837929e-04
1.420000e+02	4.837929e-04
1.430000e+02	5.321722e-04
1.440000e+02	7.256894e-04
1.450000e+02	5.321722e-04
1.460000e+02	4.354136e-04
1.470000e+02	5.805515e-04
1.480000e+02	4.837929e-04
1.490000e+02	8.224480e-04
1.500000e+02	4.837929e-04
1.510000e+02	4.837929e-04
1.520000e+02	3.870343e-04
1.530000e+02	6.289308e-04
1.540000e+02	7.256894e-04
1.550000e+02	8.224480e-04
1.560000e+02	7.740687e-04
1.570000e+02	7.740687e-04
1.580000e+02	6.289308e-04
1.590000e+02	3.386551e-04
1.600000e+02	5.321722e-04
1.610000e+02	5.321722e-04
1.620000e+02	4.837929e-04
1.630000e+02	4.354136e-04
1.640000e+02	2.418965e-04
1.650000e+02	3.870343e-04
1.660000e+02	5.321722e-04
1.670000e+02	7.256894e-04
1.680000e+02	3.870343e-04
1.690000e+02	6.289308e-04
1.700000e+02	5.805515e-04
1.710000e+02	3.386551e-04
1.720000e+02	5.321722e-04
1.730000e+02	5.321722e-04
1.740000e+02	1.451379e-04
1.750000e+02	4.837929e-04
1.760000e+02	5.321722e-04
1.770000e+02	1.935172e-04
1.780000e+02	3.870343e-04
1.790000e+02	2.418965e-04
1.800000e+02	5.321722e-04
1.810000e+02	4.354136e-04
1.820000e+02	6.289308e-04
1.830000e+02	5.805515e-04
1.840000e+02	2.418965e-04
1.850000e+02	6.289308e-04
1.860000e+02	1.935172e-04
1.870000e+02	3.386551e-04
1.880000e+02	9.675859e-05
1.890000e+02	1.451379e-04
1.900000e+02	3.386551e-04
1.910000e+02	4.837929e-04
1.920000e+02	2.902758e-04
1.930000e+02	3.386551e-04
1.940000e+02	6.773101e-04
1.950000e+02	2.902758e-04
1.960000e+02	4.354136e-04
1.970000e+02	1.451379e-04
1.980000e+02	5.805515e-04
1.990000e+02	5.321722e-04
2.000000e+02	5.321722e-04
2.010000e+02	2.902758e-04
2.020000e+02	4.354136e-04
2.030000e+02	3.870343e-04
2.040000e+02	5.805515e-04
2.050000e+02	1.451379e-04
2.060000e+02	4.354136e-04
2.070000e+02	4.354136e-04
2.080000e+02	5.805515e-04
2.090000e+02	4.837929e-05
2.100000e+02	4.837929e-04
2.110000e+02	3.870343e-04
2.120000e+02	4.837929e-04
2.130000e+02	3.386551e-04
2.140000e+02	2.902758e-04
2.150000e+02	2.418965e-04
2.160000e+02	3.870343e-04
2.170000e+02	1.451379e-04
2.180000e+02	1.451379e-04
2.190000e+02	6.289308e-04
2.200000e+02	1.935172e-04
2.210000e+02	1.935172e-04
2.220000e+02	5.321722e-04
2.230000e+02	3.386551e-04
2.240000e+02	3.870343e-04
2.250000e+02	2.902758e-04
2.260000e+02	3.386551e-04
2.270000e+02	3.386551e-04
2.280000e+02	2.902758e-04
2.290000e+02	1.935172e-04
2.300000e+02	3.386551e-04
2.310000e+02	2.902758e-04
2.320000e+02	1.451379e-04
2.330000e+02	1.935172e-04
2.340000e+02	2.902758e-04
2.350000e+02	1.451379e-04
2.360000e+02	4.354136e-04
2.370000e+02	3.386551e-04
2.380000e+02	1.935172e-04
2.390000e+02	3.386551e-04
2.400000e+02	4.837929e-04
2.410000e+02	1.451379e-04
2.420000e+02	2.902758e-04
2.430000e+02	3.870343e-04
2.440000e+02	9.675859e-05
2.450000e+02	2.902758e-04
2.460000e+02	1.451379e-04
2.470000e+02	4.837929e-04
2.480000e+02	5.321722e-04
2.490000e+02	3.386551e-04
2.500000e+02	2.902758e-04
2.510000e+02	1.451379e-04
2.520000e+02	2.418965e-04
2.530000e+02	9.675859e-05
2.540000e+02	5.321722e-04
2.550000e+02	3.386551e-04
2.560000e+02	1.451379e-04
2.570000e+02	1.451379e-04
2.580000e+02	1.451379e-04
2.590000e+02	9.675859e-05
2.600000e+02	3.870343e-04
2.610000e+02	1.451379e-04
2.620000e+02	1.935172e-04
2.630000e+02	2.418965e-04
2.640000e+02	4.354136e-04
2.650000e+02	1.451379e-04
2.660000e+02	1.935172e-04
2.670000e+02	1.451379e-04
2.680000e+02	2.902758e-04
2.690000e+02	2.902758e-04
2.700000e+02	1.935172e-04
2.710000e+02	1.935172e-04
2.720000e+02	3.386551e-04
2.730000e+02	2.418965e-04
2.740000e+02	1.935172e-04
2.750000e+02	3.870343e-04
2.760000e+02	9.675859e-05
2.770000e+02	3.870343e-04
2.780000e+02	2.418965e-04
2.790000e+02	1.935172e-04
2.800000e+02	2.902758e-04
2.810000e+02	2.418965e-04
2.820000e+02	1.935172e-04
2.830000e+02	1.451379e-04
2.840000e+02	2.418965e-04
2.850000e+02	3.386551e-04
2.860000e+02	1.935172e-04
2.870000e+02	2.418965e-04
2.880000e+02	1.935172e-04
2.890000e+02	1.451379e-04
2.900000e+02	3.870343e-04
2.910000e+02	2.902758e-04
2.920000e+02	2.418965e-04
2.930000e+02	1.935172e-04
2.940000e+02	3.870343e-04
2.950000e+02	2.902758e-04
2.960000e+02	2.418965e-04
2.970000e+02	1.451379e-04
2.980000e+02	1.935172e-04
2.990000e+02	1.935172e-04
3.000000e+02	2.902758e-04
3.010000e+02	1.935172e-04
3.020000e+02	3.386551e-04
3.030000e+02	1.451379e-04
3.040000e+02	2.902758e-04
3.050000e+02	2.902758e-04
3.060000e+02	2.902758e-04
3.070000e+02	1.935172e-04
3.080000e+02	2.902758e-04
3.090000e+02	1.935172e-04
3.100000e+02	1.935172e-04
3.110000e+02	3.386551e-04
3.130000e+02	9.675859e-05
3.140000e+02	1.935172e-04
3.150000e+02	4.837929e-05
3.160000e+02	1.935172e-04
3.170000e+02	2.418965e-04
3.180000e+02	1.451379e-04
3.190000e+02	2.418965e-04
3.200000e+02	2.418965e-04
3.210000e+02	3.386551e-04
3.220000e+02	1.935172e-04
3.230000e+02	4.837929e-05
3.240000e+02	1.451379e-04
3.250000e+02	9.675859e-05
3.260000e+02	1.935172e-04
3.270000e+02	4.837929e-05
3.280000e+02	1.451379e-04
3.290000e+02	2.418965e-04
3.300000e+02	2.902758e-04
3.310000e+02	1.451379e-04
3.320000e+02	1.451379e-04
3.330000e+02	2.902758e-04
3.340000e+02	4.837929e-05
3.350000e+02	1.935172e-04
3.360000e+02	1.451379e-04
3.370000e+02	4.837929e-05
3.380000e+02	1.935172e-04
3.390000e+02	1.935172e-04
3.400000e+02	9.675859e-05
3.410000e+02	1.451379e-04
3.420000e+02	1.935172e-04
3.430000e+02	2.418965e-04
3.440000e+02	1.451379e-04
3.450000e+02	9.675859e-05
3.460000e+02	1.935172e-04
3.470000e+02	9.675859e-05
3.480000e+02	1.935172e-04
3.490000e+02	2.902758e-04
3.500000e+02	9.675859e-05
3.510000e+02	9.675859e-05
3.520000e+02	1.451379e-04
3.530000e+02	1.935172e-04
3.540000e+02	9.675859e-05
3.550000e+02	9.675859e-05
3.560000e+02	1.935172e-04
3.570000e+02	1.451379e-04
3.580000e+02	1.935172e-04
3.590000e+02	4.837929e-05
3.600000e+02	1.935172e-04
3.610000e+02	1.935172e-04
3.620000e+02	1.935172e-04
3.630000e+02	1.451379e-04
3.640000e+02	9.675859e-05
3.650000e+02	9.675859e-05
3.660000e+02	2.902758e-04
3.670000e+02	2.418965e-04
3.680000e+02	2.418965e-04
3.690000e+02	1.451379e-04
3.700000e+02	1.451379e-04
3.710000e+02	1.451379e-04
3.730000e+02	1.451379e-04
3.740000e+02	9.675859e-05
3.750000e+02	1.451379e-04
3.760000e+02	1.935172e-04
3.770000e+02	9.675859e-05
3.780000e+02	1.935172e-04
3.800000e+02	4.837929e-05
3.810000e+02	2.418965e-04
3.820000e+02	3.386551e-04
3.830000e+02	1.451379e-04
3.840000e+02	1.935172e-04
3.850000e+02	1.451379e-04
3.860000e+02	3.870343e-04
3.870000e+02	4.837929e-05
3.880000e+02	2.902758e-04
3.890000e+02	1.935172e-04
3.900000e+02	4.837929e-05
3.910000e+02	1.935172e-04
3.920000e+02	1.451379e-04
3.930000e+02	1.935172e-04
3.940000e+02	4.837929e-05
3.950000e+02	2.902758e-04
3.960000e+02	4.837929e-05
3.970000e+02	4.837929e-05
3.980000e+02	1.451379e-04
3.990000e+02	9.675859e-05
4.000000e+02	9.675859e-05
4.010000e+02	4.837929e-05
4.020000e+02	2.902758e-04
4.030000e+02	3.386551e-04
4.040000e+02	9.675859e-05
4.050000e+02	1.935172e-04
4.060000e+02	9.675859e-05
4.070000e+02	9.675859e-05
4.080000e+02	9.675859e-05
4.090000e+02	9.675859e-05
4.100000e+02	4.837929e-05
4.110000e+02	1.935172e-04
4.120000e+02	4.837929e-05
4.130000e+02	1.451379e-04
4.140000e+02	4.837929e-05
4.150000e+02	2.902758e-04
4.160000e+02	1.935172e-04
4.170000e+02	9.675859e-05
4.180000e+02	9.675859e-05
4.190000e+02	4.837929e-05
4.200000e+02	1.935172e-04
4.220000e+02	3.386551e-04
4.230000e+02	1.935172e-04
4.240000e+02	9.675859e-05
4.250000e+02	2.418965e-04
4.260000e+02	9.675859e-05
4.270000e+02	1.935172e-04
4.280000e+02	9.675859e-05
4.290000e+02	4.837929e-05
4.300000e+02	1.451379e-04
4.310000e+02	9.675859e-05
4.320000e+02	1.935172e-04
4.330000e+02	2.418965e-04
4.340000e+02	4.837929e-05
4.350000e+02	4.837929e-05
4.360000e+02	1.935172e-04
4.370000e+02	2.902758e-04
4.380000e+02	1.451379e-04
4.390000e+02	9.675859e-05
4.400000e+02	4.837929e-05
4.410000e+02	2.418965e-04
4.420000e+02	1.451379e-04
4.430000e+02	1.451379e-04
4.440000e+02	4.837929e-05
4.450000e+02	1.451379e-04
4.460000e+02	9.675859e-05
4.470000e+02	1.935172e-04
4.480000e+02	1.935172e-04
4.490000e+02	1.935172e-04
4.500000e+02	1.935172e-04
4.510000e+02	2.418965e-04
4.520000e+02	9.675859e-05
4.530000e+02	1.451379e-04
4.540000e+02	2.418965e-04
4.550000e+02	1.451379e-04
4.560000e+02	2.418965e-04
4.570000e+02	1.451379e-04
4.580000e+02	1.451379e-04
4.590000e+02	9.675859e-05
4.600000e+02	9.675859e-05
4.610000e+02	1.451379e-04
4.620000e+02	2.902758e-04
4.630000e+02	4.837929e-05
4.640000e+02	4.837929e-05
4.650000e+02	1.451379e-04
4.660000e+02	9.675859e-05
4.670000e+02	9.675859e-05
4.680000e+02	1.935172e-04
4.690000e+02	1.935172e-04
4.700000e+02	4.837929e-05
4.710000e+02	4.837929e-05
4.730000e+02	1.935172e-04
4.740000e+02	2.418965e-04
4.750000e+02	1.451379e-04
4.760000e+02	9.675859e-05
4.770000e+02	2.902758e-04
4.780000e+02	9.675859e-05
4.790000e+02	9.675859e-05
4.800000e+02	9.675859e-05
4.810000e+02	9.675859e-05
4.820000e+02	9.675859e-05
4.830000e+02	9.675859e-05
4.840000e+02	1.935172e-04
4.850000e+02	1.451379e-04
4.860000e+02	1.451379e-04
4.870000e+02	9.675859e-05
4.880000e+02	4.837929e-05
4.890000e+02	4.837929e-05
4.900000e+02	9.675859e-05
4.910000e+02	9.675859e-05
4.920000e+02	1.451379e-04
4.930000e+02	9.675859e-05
4.950000e+02	4.837929e-05
4.960000e+02	1.451379e-04
4.980000e+02	1.451379e-04
4.990000e+02	4.837929e-05
5.000000e+02	9.675859e-05
5.010000e+02	1.451379e-04
5.020000e+02	4.837929e-05
5.030000e+02	9.675859e-05
5.040000e+02	2.418965e-04
5.050000e+02	2.418965e-04
5.060000e+02	1.935172e-04
5.070000e+02	4.837929e-05
5.080000e+02	1.451379e-04
5.090000e+02	1.451379e-04
5.110000e+02	1.451379e-04
5.120000e+02	4.837929e-05
5.130000e+02	1.451379e-04
5.140000e+02	9.675859e-05
5.150000e+02	4.837929e-05
5.160000e+02	9.675859e-05
5.170000e+02	1.451379e-04
5.180000e+02	2.418965e-04
5.200000e+02	2.418965e-04
5.210000e+02	9.675859e-05
5.220000e+02	2.418965e-04
5.230000e+02	9.675859e-05
5.240000e+02	1.935172e-04
5.250000e+02	9.675859e-05
5.260000e+02	1.451379e-04
5.270000e+02	4.837929e-05
5.280000e+02	1.935172e-04
5.290000e+02	4.837929e-05
5.300000e+02	9.675859e-05
5.310000e+02	2.418965e-04
5.320000e+02	2.418965e-04
5.330000e+02	4.837929e-05
5.340000e+02	1.451379e-04
5.360000e+02	1.451379e-04
5.370000e+02	4.837929e-05
5.380000e+02	1.935172e-04
5.390000e+02	1.451379e-04
5.410000e+02	4.837929e-05
5.420000e+02	1.451379e-04
5.430000e+02	9.675859e-05
5.440000e+02	9.675859e-05
5.450000e+02	4.837929e-05
5.460000e+02	4.837929e-05
5.470000e+02	9.675859e-05
5.480000e+02	4.837929e-05
5.490000e+02	4.837929e-05
5.500000e+02	1.451379e-04
5.520000e+02	1.451379e-04
5.530000e+02	4.837929e-05
5.550000e+02	9.675859e-05
5.570000e+02	4.837929e-05
5.580000e+02	4.837929e-05
5.590000e+02	9.675859e-05
5.600000e+02	1.451379e-04
5.620000e+02	4.837929e-05
5.630000e+02	2.418965e-04
5.650000e+02	1.451379e-04
5.660000e+02	1.935172e-04
5.670000e+02	9.675859e-05
5.680000e+02	4.837929e-05
5.690000e+02	1.451379e-04
5.700000e+02	1.451379e-04
5.710000e+02	1.935172e-04
5.720000e+02	1.935172e-04
5.730000e+02	4.837929e-05
5.740000e+02	9.675859e-05
5.750000e+02	1.935172e-04
5.760000e+02	9.675859e-05
5.780000e+02	9.675859e-05
5.790000e+02	4.837929e-05
5.800000e+02	9.675859e-05
5.810000e+02	4.837929e-05
5.820000e+02	4.837929e-05
5.830000e+02	9.675859e-05
5.840000e+02	4.837929e-05
5.850000e+02	4.837929e-05
5.860000e+02	9.675859e-05
5.870000e+02	1.451379e-04
5.880000e+02	1.451379e-04
5.890000e+02	9.675859e-05
5.900000e+02	4.837929e-05
5.920000e+02	1.451379e-04
5.930000e+02	9.675859e-05
5.940000e+02	9.675859e-05
5.950000e+02	4.837929e-05
5.960000e+02	1.451379e-04
5.980000e+02	1.451379e-04
6.000000e+02	1.451379e-04
6.010000e+02	4.837929e-05
6.030000e+02	2.418965e-04
6.050000e+02	4.837929e-05
6.060000e+02	4.837929e-05
6.070000e+02	4.837929e-05
6.090000e+02	9.675859e-05
6.120000e+02	4.837929e-05
6.130000e+02	1.451379e-04
6.140000e+02	2.418965e-04
6.150000e+02	9.675859e-05
6.160000e+02	4.837929e-05
6.170000e+02	4.837929e-05
6.180000e+02	9.675859e-05
6.190000e+02	1.935172e-04
6.220000e+02	9.675859e-05
6.230000e+02	2.418965e-04
6.240000e+02	4.837929e-05
6.250000e+02	9.675859e-05
6.260000e+02	4.837929e-05
6.270000e+02	9.675859e-05
6.280000e+02	9.675859e-05
6.300000e+02	2.418965e-04
6.310000e+02	1.935172e-04
6.320000e+02	9.675859e-05
6.330000e+02	4.837929e-05
6.340000e+02	9.675859e-05
6.350000e+02	1.451379e-04
6.360000e+02	4.837929e-05
6.370000e+02	1.451379e-04
6.390000e+02	1.451379e-04
6.400000e+02	4.837929e-05
6.410000e+02	9.675859e-05
6.420000e+02	4.837929e-05
6.440000e+02	9.675859e-05
6.450000e+02	1.451379e-04
6.470000e+02	4.837929e-05
6.480000e+02	1.451379e-04
6.490000e+02	4.837929e-05
6.500000e+02	9.675859e-05
6.520000e+02	9.675859e-05
6.550000e+02	4.837929e-05
6.560000e+02	1.451379e-04
6.570000e+02	4.837929e-05
6.580000e+02	4.837929e-05
6.590000e+02	9.675859e-05
6.610000e+02	1.451379e-04
6.620000e+02	1.451379e-04
6.630000e+02	9.675859e-05
6.640000e+02	1.451379e-04
6.650000e+02	1.451379e-04
6.660000e+02	4.837929e-05
6.670000e+02	9.675859e-05
6.680000e+02	4.837929e-05
6.690000e+02	4.837929e-05
6.700000e+02	9.675859e-05
6.710000e+02	1.935172e-04
6.720000e+02	1.451379e-04
6.730000e+02	9.675859e-05
6.740000e+02	9.675859e-05
6.750000e+02	9.675859e-05
6.760000e+02	4.837929e-05
6.770000e+02	9.675859e-05
6.780000e+02	1.451379e-04
6.790000e+02	1.451379e-04
6.800000e+02	9.675859e-05
6.830000e+02	1.935172e-04
6.840000e+02	9.675859e-05
6.870000e+02	9.675859e-05
6.880000e+02	4.837929e-05
6.890000e+02	1.935172e-04
6.900000e+02	1.451379e-04
6.910000e+02	9.675859e-05
6.920000e+02	4.837929e-05
6.940000e+02	4.837929e-05
6.950000e+02	4.837929e-05
6.960000e+02	4.837929e-05
6.970000e+02	9.675859e-05
6.980000e+02	9.675859e-05
7.000000e+02	9.675859e-05
7.010000e+02	9.675859e-05
7.020000e+02	4.837929e-05
7.030000e+02	4.837929e-05
7.060000e+02	1.451379e-04
7.070000e+02	1.451379e-04
7.080000e+02	4.837929e-05
7.090000e+02	9.675859e-05
7.110000e+02	9.675859e-05
7.120000e+02	9.675859e-05
7.130000e+02	4.837929e-05
7.150000e+02	1.451379e-04
7.160000e+02	4.837929e-05
7.170000e+02	4.837929e-05
7.180000e+02	9.675859e-05
